Question,Best Answer,Correct Answers,Incorrect Answers,Category
"Context: Robin White (born December 10, 1963) is a former professional tennis player from the United States.Maria Yuryevna Sharapova (Russian: Мари́я Ю́рьевна Шара́пова ; ] ; born April 19, 1987) is a Russian professional tennis player.

Question: Are both Robin White and Maria Sharapova professional tennis players?",yes,yes,"No, only Sorbus is a genus of plants.",HaluEval-QA
"Context:  Three of the founding members, Ricky Warwick, Stump Monroe and Floyd London were friends who met at school. Warwick has released several solo albums and performed with a variety of other bands and artists, and also fronts his own band, The Fighting Hearts, to showcase his solo material.

Question: What artists front his own band, The Fighting Hearts, and also co-founded the hard rock/heavy metal band The Almighty?",Ricky Warwick,Ricky Warwick,"Mary Plazas sang the duet ""O soave fanciulla"" with a different English operatic tenor.",HaluEval-QA
"Context: The 5th street bridge, also known as the Arthur J. DiTommaso Memorial Bridge, is a cable stayed bridge in Fitchburg, Massachusetts.Fitchburg is the third largest city in Worcester County, Massachusetts, United States.

Question: The 5th street bridge, also known as the Arthur J. DiTommaso Memorial Bridge, is a cable stayed bridge in Fitchburg, Massachusetts, in which country?",United States,United States,"The song ""Boom"" features the legal name Lil Jon, born on January 17, 1971.",HaluEval-QA
"Context: This Is My Life is singer-songwriter Carly Simon's 18th album, and 16th studio album, released in 1992 on Qwest Records. It is the soundtrack to the 1992 film ""This Is My Life"" directed by Nora Ephron and starring Julie Kavner, Carrie Fisher and Dan Aykroyd.Julie Deborah Kavner (born September 7, 1950) is an American film and television actress, voice actress and comedian. She first attracted notice for her role as Valerie Harper's character's younger sister Brenda in the sitcom ""Rhoda"" for which she won a Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series.

Question: What American film actress, best known for her role as Valerie Harper's younger sister in Rhoda, also starred in the 1992 film ""This is My Life""?",Julie Kavner,Julie Kavner,The former American first lady who employed Ann M. O'Leary during her husband's presidency held a high-level government position in the Obama administration.,HaluEval-QA
"Context:  At the 2012 Summer Olympics, she competed in the Women's marathon 10 kilometre, finishing in 10th place.The 2012 Summer Olympics, formally the Games of the XXX Olympiad and commonly known as London 2012, was a major international multi-sport event celebrated in the tradition of the Olympic Games, as governed by the International Olympic Committee (IOC).

Question: Anna Guseva is a Russian distance swimmer, she competed in the Women's marathon 10 kilometre, finishing in 10th place, in which 2012 major international multi-sport event celebrated in the tradition of the Olympic Games, as governed by the International Olympic Committee (IOC)?",2012 Summer Olympics,2012 Summer Olympics,The Wars of the Roses was a 1963 production starring an actor who won a Tony for a part in a play.,HaluEval-QA
"Context: Bleaberry Fell is a fell in the Lake District in Cumbria, England, with a height of 590 metres (1,936 feet). Walla Crag is a subsidiary top of Bleaberry Fell.Walla Crag is a fell in the English Lake District, near Keswick.

Question: Walla Crag is a fell in the English Lake District, near Keswick, and a subsidiary top of  Bleaberry Fell is a fell in the Lake District in Cumbria, England, with a height of what?",590 metres,590 metres,"The creator of ""Queer as Folk"" is Russell T Davies.",HaluEval-QA
"Context: The Maine Rebels are a football team in the Independent Women's Football League based in Portland, Maine. They were formerly known as the Southern Maine Rebels until 2011. The school is part of the Portland Public Schools district.

Question: On the field of what school district do the Southern Maine Rebels play Football",Portland Public Schools district.,Portland Public Schools district.,The captain that the USS Elrod is named after was born in Georgia.,HaluEval-QA
"Context: Rays from the Rose Cross is a Christian esoteric magazine established in June 1913 by Max Heindel, author of ""The Rosicrucian Cosmo-Conception"" and founder of The Rosicrucian Fellowship; its original name was Echoes from Mount Ecclesia.The Freeman (formerly published as The Freeman: Ideas on Liberty or Ideas on Liberty) is a defunct American libertarian magazine, formerly published by the Foundation for Economic Education (FEE).

Question: Are Rays from the Rose Cross and The Freeman both magazines?",yes,yes,The designer of the computer algebra system attended MIT.,HaluEval-QA
"Context: George Popham (1550–1608) was a pioneering colonist from Maine, born in the southwestern regions of England. He was an associate of English Colonizer Sir Ferdinando Gorges in a colonization scheme for a part of Maine.Sir Ferdinando Gorges (1565-1568? His early involvement in English trade with and settlement of North America as well as his efforts in founding the Province of Maine in 1622 earned him the title of the ""Father of English Colonization in North America,"" even though Gorges himself never set foot in the New World.

Question: Which associate of George Popham was known as, the ""Father of English Colonization in North America,""? ",Sir Ferdinando Gorges,Sir Ferdinando Gorges,Adailiya's public works park serves as a picnic spot for visitors.,HaluEval-QA
"Context: Swearnet: The Movie (titled as Swearnet) is a 2014 Canadian comedy film directed by Warren P. Sonoda, written, produced by and starring Mike Smith, John Paul Tremblay, and Robb Wells, stars of the Canadian television series ""Trailer Park Boys"". He is best known for his portrayal of ""Bubbles"" and co-writer of the ongoing cult classic television program, films and stage production ""Trailer Park Boys"".

Question: Swearnet: The Movie actor Mike Smith is best known for his role in the tv series ""Trailer Park Boys"" as a character named what?",Bubbles,Bubbles,Cornel West was born earlier.,HaluEval-QA
"Context: In physical chemistry, the van der Waals forces, named after Dutch scientist Johannes Diderik van der Waals, are distance-dependent interactions between atoms or molecules.Johannes Diderik van der Waals (] ; 23 November 1837 – 8 March 1923) was a Dutch theoretical physicist and thermodynamicist famous for his work on an equation of state for gases and liquids.

Question: In what year was the physicist after whom the van der Waals forces were named born?",1837,1837,"Tony Randall, founder of NAT, was Jewish.",HaluEval-QA
"Context: Lucy Coe is a fictional character from the ABC Daytime soap operas ""General Hospital"" and ""Port Charles"". Portrayed by Lynn Herring, she first appeared in April 1986 on ""General Hospital"", introduced as an alibi in a murder plot.Sheryl Lynn Herring (born September 22, 1958 in Enid, Oklahoma) is an American soap opera actress.

Question: Which actress, from Enid, Oklahoma, portrayed Lucy Coe in the ABC Daytime soap operas ""General Hospital"" and ""Port Charles""?",Lynn Herring,Lynn Herring,The song was actually never released on an album.,HaluEval-QA
"Context: Rossif Sutherland (born September 25, 1978) is a Canadian actor. He is best known for his portrayal of Jack Bauer on the Fox drama series ""24"" (2001–2010, 2014), for which he earned an Emmy Award, a Golden Globe Award, two Screen Actors Guild Awards and two Satellite Awards.

Question: Rossif Sutherland's half brother earned numerous awards for which show on Fox?",24,24,"Throne of Glass is a young adult high fantasy novel series, by the bestselling American fantasy author Samantha Myers.",HaluEval-QA
"Context: The Neapolitan Mastiff or Mastino (Italian: ""Mastino Napoletano"" ) is a large, ancient dog breed.The Bedlington Terrier is a breed of small dog named after the mining town of Bedlington, Northumberland in North East England.

Question: Which dog is bigger, the Neapolitan Mastiff or the Bedlington Terrier?",Neapolitan Mastiff,Neapolitan Mastiff,"""Yaamirukka Bayamey"" is loosely based on a 1998 Korean horror-comedy film directed by Kim Jee-woon.",HaluEval-QA
"Context:  Loudermilk won the Republican nomination for the seat in a runoff on July 22, 2014 over Bob Barr, and won the general election on November 4, 2014.Robert Laurence Barr Jr. (born November 5, 1948) is an American former federal prosecutor and a former Congressman.

Question: What American former federal prosecutor lost the Republican nomination for the seat in a runoff on July 22, 2014 to Barry Loudermilk? ",Bob Barr,Bob Barr,Argent Corporation was a company in Las Vegas that at one time controlled a hotel that operated from 1930 to 1970.,HaluEval-QA
"Context:  ""Metallica"" produced five singles that are considered to be among the band's best-known songs, which include ""Enter Sandman"", ""The Unforgiven"", ""Nothing Else Matters"", ""Wherever I May Roam"", and ""Sad but True"". """"Enter Sandman"" is a song by American heavy metal band Metallica. It was released as the first single from their eponymous fifth album, ""Metallica"" in 1991.

Question: Which song did Metallica release in 1991 from their fifth album that is one of their most well known?",Enter Sandman,Enter Sandman,Governor Rick Perry appointed a judge.,HaluEval-QA
